emails_sent,send_time,subject_line,unique_opens,open_rate,clicks,click_rate,html_file_path
2194,2021-08-24 00:00:00+00:00, ¡Reincorpórate y retoma tu camino!,235,0.107110300820419,113,0.0246125797629899,all-data/html/f4f9f40a60.html
4919,2021-01-08 23:15:00+00:00, ¡Ya estamos en vivo! Conoce las experiencias de nuestros egresados,370,0.0753871230643846,63,0.0112061939690301,all-data/html/f5132628b2.html
86,2021-01-19 16:15:00+00:00, ¿Aún no decides en qué universidad estudiar? Conoce nuestro modelo educativo,26,0.325,9,0.1125,all-data/html/f51b2e6a73.html
3519,2019-09-17 22:56:27+00:00, ¿Por qué apostar por una carrera universitaria?,812,0.230878589707137,55,0.0136479954506681,all-data/html/f5354a3548.html
2632,2019-10-07 13:16:05+00:00, ¿Quieres impulsar tu carrera pero no sabes dónde estudiar? Conócenos y mira lo que tenemos para ti.,565,0.216143840856924,49,0.0160673297628156,all-data/html/f55828efd8.html
5281,2019-07-11 22:39:47+00:00, 👉 Descubre qué hacer antes de empezar a hacer tu tesis 📚,621,0.117635915893162,43,0.0068194733851108,all-data/html/f559d01a6f.html
5271,2019-07-18 23:53:32+00:00, 👉 Te recomendamos cuatro libros que no debes dejar de leer 📚,558,0.105862265224815,62,0.0073989755264655,all-data/html/f55b3747b8.html
66,2019-07-18 21:09:28+00:00, abre este mail si eres de la generación que habla con acciones,13,0.196969696969697,1,0.0151515151515151,all-data/html/f58ac32848.html
67,2019-07-18 21:09:50+00:00, abre este mail si eres de la generación que habla con acciones,9,0.134328358208955,0,0.0,all-data/html/f5886769ae.html
508,2019-04-23 14:10:13+00:00, asiste a la charla informativa y súmate a la revolución positiva,126,0.248520710059172,10,0.0157790927021696,all-data/html/f58a96ab1f.html
107,2019-05-23 16:30:00+00:00, Asiste al taller de Administración y Marketing y súmate a la revolución positiva.,15,0.14018691588785,0,0.0,all-data/html/f5a8372cb7.html
380,2019-07-03 19:59:00+00:00, Asiste al taller de Administración y Negocios Internacionales y súmate a la revolución positiva.,42,0.110526315789474,3,0.0052631578947368,all-data/html/f59ab46db9.html
104,2019-05-23 16:30:00+00:00, Asiste al taller de Administración y súmate a la revolución positiva.,19,0.184466019417476,4,0.0194174757281553,all-data/html/f5b5ea5a04.html
44,2019-05-23 16:30:00+00:00, Asiste al taller de Contabilidad y súmate a la revolución positiva.,9,0.209302325581395,0,0.0,all-data/html/f5c3c34fbe.html
163,2019-07-04 19:34:40+00:00, Asiste al taller de Ingeniería Ambiental y súmate a la revolución positiva.,28,0.17283950617284,1,0.0061728395061728,all-data/html/f5ce5cec04.html
170,2019-07-04 19:37:05+00:00, Asiste al taller de Ingeniería Civil y súmate a la revolución positiva.,33,0.197604790419162,2,0.0119760479041916,all-data/html/f5d97f7fdc.html
258,2019-07-04 19:36:06+00:00, Asiste al taller de Ingeniería Industrial y súmate a la revolución positiva.,54,0.209302325581395,3,0.0116279069767441,all-data/html/f5f3e215e7.html
738,2019-06-26 19:00:00+00:00, Asiste al taller de las carreras de negocios y súmate a la revolución positiva.,108,0.146739130434783,4,0.0054347826086956,all-data/html/f607f97839.html
243,2019-05-21 15:29:50+00:00, Asiste al taller de Medicina Humana y súmate a la revolución positiva.,55,0.227272727272727,6,0.024793388429752,all-data/html/f628b351cb.html
179,2019-04-23 14:10:43+00:00, Asiste al taller vivencial y súmate a la revolución positiva.,45,0.251396648044693,3,0.0167597765363128,all-data/html/f61e2a351b.html
7502,2020-02-05 22:00:00+00:00, aún estás a tiempo! Inscríbete a la Charla informativa.,1508,0.201766122558202,175,0.0176612255820176,all-data/html/f62c2d3bb1.html
3827,2019-07-13 17:58:08+00:00, buscamos estudiantes que deseen la mejor educación a distancia,1300,0.34102833158447,72,0.0157397691500524,all-data/html/f6332528be.html
3924,2019-09-09 22:58:36+00:00, Certifica tu experiencia con una carrera universitaria,1269,0.323889739663093,87,0.0181214905564063,all-data/html/f648eb1be5.html
3332,2020-08-18 20:27:27+00:00, Conoce continental training y vive la experiencia de estar en la universidad,446,0.134580567290284,125,0.0271575135787567,all-data/html/f6547d734b.html
6180,2019-10-10 23:37:18+00:00, Conoce el uso de las aplicaciones tecnológicas en la vida laboral,2050,0.331715210355987,93,0.0119741100323624,all-data/html/f663a8322e.html
10732,2020-12-29 22:02:03+00:00, Conoce las experiencias de nuestros egresados,887,0.0829825053793619,106,0.0075778838057816,all-data/html/f66ad8b0ea.html
1065,2020-12-16 19:12:41+00:00, Conoce las ventajas de estudiar en la modalidad Semipresencial UC,106,0.0996240601503759,7,0.006578947368421,all-data/html/f6803463ba.html
47,2020-12-03 19:01:17+00:00, Conoce más de la Universidad Continental Cusco,12,0.285714285714286,7,0.119047619047619,all-data/html/f693c45405.html
63,2020-12-17 17:09:00+00:00, Conoce más de la Universidad Continental y la modalidad Semipresencial,14,0.229508196721311,2,0.0327868852459016,all-data/html/f68c460a4d.html
7158,2019-09-09 22:58:40+00:00, Conviértete en el profesional que quieres ser sin dejar de trabajar,1764,0.24719730941704,209,0.0239630044843049,all-data/html/f6b2df6fb3.html
1441,2019-09-06 15:15:00+00:00, Crea impacto positivo y trasciende 💪,159,0.11049339819319,6,0.0041695621959694,all-data/html/f6cf6588ba.html
213,2020-12-05 00:15:00+00:00, Descubre todo sobre Ingeniería Civil,34,0.160377358490566,9,0.0235849056603773,all-data/html/f711bb198d.html
